loan_amnt,term,int_rate,grade,emp_title,emp_length,annual_inc,issue_d,loan_status,purpose,total_pymnt,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,flag
10000,36 months,7.56%,A,Practice Manager,4 years,75500,Jan-2019,Current,debt_consolidation,1552.5,Jun-2019,311.34,Jul-2019,Jun-2019,1
8000,36 months,8.81%,A,DSP (Care Giver),2 years,25e3,Mar-2019,Current,debt_consolidation,753.27,Jun-2019,253.7,Jul-2019,Jun-2019,1
5500,36 months,10.33%,B,Director,2 years,55e3,Jan-2019,Current,other,885.34,Jun-2019,178.33,Jul-2019,Jun-2019,1
13000,60 months,22.35%,D,cashier,10+ years,73e3,Feb-2019,Current,debt_consolidation,1430.42,Jun-2019,361.64,Jul-2019,Jun-2019,1
10000,36 months,12.40%,B,Firefighter/EMT,6 years,7e4,Feb-2019,Current,debt_consolidation,1329.35,Jun-2019,334.06,Jul-2019,Jun-2019,1
12500,60 months,16.14%,C,Teacher,4 years,6e4,Jan-2019,Current,debt_consolidation,1513.34,Jun-2019,304.91,Jul-2019,Jun-2019,1
20000,60 months,12.98%,B,Senior Internal Auditor,< 1 year,75e3,Jan-2019,Current,debt_consolidation,2245.46,Jun-2019,454.86,Jul-2019,Jun-2019,1
27050,36 months,14.47%,C,Program Mananger,8 years,52e3,Jan-2019,Current,debt_consolidation,4610.01,Jun-2019,930.7,Jul-2019,Jun-2019,1
25000,60 months,20.00%,D,Executive Assistant,10+ years,1e5,Mar-2019,Fully Paid,debt_consolidation,25263.8866666669,Apr-2019,25291.67,NA,Jun-2019,1
12000,36 months,8.81%,A,Aircraft structural mechanic,6 years,82e3,Feb-2019,Current,credit_card,1861.59,Jun-2019,380.54,Jul-2019,Jun-2019,1
10000,36 months,11.71%,B,Manager,3 years,72e3,Feb-2019,Current,credit_card,1310.03,Jun-2019,330.76,Jul-2019,Jun-2019,1
5000,36 months,7.56%,A,NA,< 1 year,36e3,Feb-2019,Current,debt_consolidation,620.58,Jun-2019,155.67,Jul-2019,Jun-2019,1
5600,36 months,16.14%,C,Onboarding Coordinator,2 years,45e3,Jan-2019,Current,debt_consolidation,784.06,May-2019,197.27,Jul-2019,Jun-2019,1
13000,36 months,8.81%,A,NA,< 1 year,75e3,Mar-2019,Fully Paid,debt_consolidation,13004.1385833332,Mar-2019,13010.5,NA,Mar-2019,1
40000,60 months,10.72%,B,Dental Hygenist,10+ years,75e3,Feb-2019,Current,debt_consolidation,3432.7,Jun-2019,864.13,Jul-2019,Jun-2019,1
30000,60 months,14.47%,C,it systems administrator,3 years,82e3,Jan-2019,Current,debt_consolidation,3532.78,Jun-2019,705.38,Jul-2019,Jun-2019,1
25000,36 months,25.00%,D,Senior Network Engineer,10+ years,75e3,Mar-2019,Current,credit_card,2947.28,Jun-2019,994,Jul-2019,Jun-2019,1
25000,36 months,7.56%,A,HR Manager,10+ years,74e3,Mar-2019,Fully Paid,medical,25043.3125,Apr-2019,25053.81,NA,Apr-2019,1
10000,36 months,7.56%,A,Director of Public Relations,3 years,57e3,Jan-2019,Current,credit_card,1236.96,May-2019,311.34,Jul-2019,Jun-2019,1
6050,36 months,11.31%,B,NA,7 years,26088,Jan-2019,Current,debt_consolidation,1003.87,May-2019,198.96,Jul-2019,Jun-2019,1
11000,60 months,13.08%,B,Editorial Director,10+ years,15e4,Mar-2019,Fully Paid,house,11012.7860000001,Apr-2019,11028.78,NA,Apr-2019,1
6000,36 months,7.56%,A,Pump Shipping Foreman,< 1 year,56e3,Feb-2019,Current,credit_card,738.42,Jun-2019,186.81,Jul-2019,Jun-2019,1
20000,60 months,11.02%,B,Executive Prodcuer,10+ years,65e3,Mar-2019,Current,debt_consolidation,1292.91,Jun-2019,435.05,Jul-2019,Jun-2019,1
7000,36 months,6.46%,A,NA,n/a,65e3,Jan-2019,Current,home_improvement,2569.59,Jun-2019,214.42,Jul-2019,Jun-2019,1
21000,60 months,12.40%,B,registered nurse,10+ years,12e4,Feb-2019,Current,debt_consolidation,1443.1,May-2019,471.39,Jul-2019,Jun-2019,1
30000,60 months,11.80%,B,Chief Engineer Custodian,8 years,127e3,Feb-2019,Current,debt_consolidation,2637.57,Jun-2019,664.31,Jul-2019,Jun-2019,1
10000,36 months,14.47%,C,Detective,10+ years,18e4,Feb-2019,Current,credit_card,1368.24,Jun-2019,344.07,Jul-2019,Jun-2019,1
12000,36 months,17.97%,D,NA,< 1 year,13e4,Jan-2019,Current,credit_card,2210.18,Jun-2019,433.65,Jul-2019,Jun-2019,1
6750,36 months,8.19%,A,Road crew,1 year,55e3,Jan-2019,Current,credit_card,845.41,May-2019,212.12,Jul-2019,Jun-2019,1
5000,36 months,11.71%,B,Participations Coordinator,2 years,47e3,Mar-2019,Current,credit_card,492.89,Jun-2019,165.38,Jul-2019,Jun-2019,1
16000,60 months,19.92%,D,NA,n/a,16800,Feb-2019,Current,credit_card,1675.09,Jun-2019,423.2,Jul-2019,Jun-2019,1
10000,60 months,26.31%,E,Snackbar cashier,10+ years,42e3,Feb-2019,Current,credit_card,1168.46,Jun-2019,301.25,Jul-2019,Jun-2019,1
36000,36 months,8.19%,A,Account Executive,2 years,175e3,Jan-2019,Current,credit_card,5639.97,Jun-2019,1131.27,Jul-2019,Jun-2019,1
25000,36 months,17.97%,D,NA,n/a,43667.52,Jan-2019,Current,debt_consolidation,4467.28,Jun-2019,903.44,Jul-2019,Jun-2019,1
15000,36 months,12.40%,B,Senior Accountant,6 years,109e3,Mar-2019,Current,debt_consolidation,1482.6,Jun-2019,501.09,Jul-2019,Jun-2019,1
15000,36 months,8.19%,A,Sr. Marketing Manager,6 years,12e4,Mar-2019,Current,credit_card,1407.29,Jun-2019,471.37,Jul-2019,Jun-2019,1
12500,60 months,13.56%,C,Caseworker,9 years,45e3,Feb-2019,Current,debt_consolidation,1142.62,Jun-2019,288.01,Jul-2019,Jun-2019,1
14000,36 months,7.56%,A,Computer Programmer,1 year,156e3,Feb-2019,Current,debt_consolidation,1734.7,Jun-2019,435.88,Jul-2019,Feb-2019,1
12000,36 months,7.02%,A,NA,< 1 year,37e3,Feb-2019,Current,credit_card,1477.88,Jun-2019,370.64,Jul-2019,Jun-2019,1
5000,36 months,13.90%,C,Mail Handler Assistand,2 years,34600,Mar-2019,Late (31-120 days),house,162.93,Apr-2019,170.65,Jul-2019,Jun-2019,0
12800,36 months,7.56%,A,Food delivery driver,1 year,58e3,Jan-2019,Current,debt_consolidation,1987.22,Jun-2019,398.52,Jul-2019,Jun-2019,1
15000,60 months,11.31%,B,NA,n/a,23e3,Mar-2019,Current,debt_consolidation,975.99,Jun-2019,328.47,Jul-2019,Jun-2019,1
20000,60 months,12.40%,B,Physician Shareholder,10+ years,575e3,Mar-2019,Current,debt_consolidation,1333.07,Jun-2019,448.95,Jul-2019,Jun-2019,1
20000,60 months,8.19%,A,Recruiting Manager,6 years,125e3,Mar-2019,Current,debt_consolidation,1212.95,Jun-2019,407.35,Jul-2019,Jun-2019,1
10000,36 months,7.56%,A,NA,n/a,5e4,Mar-2019,Current,debt_consolidation,925.62,Jun-2019,311.34,Jul-2019,Jun-2019,1
26000,36 months,7.56%,A,HR Supervisor,3 years,115e3,Mar-2019,Current,debt_consolidation,2406.6,Jun-2019,809.48,Jul-2019,Jun-2019,1
8600,36 months,6.46%,A,Office manager,4 years,47840,Mar-2019,Current,credit_card,787.2,Jun-2019,263.43,Jul-2019,Jun-2019,1
23000,36 months,8.19%,A,Assistant service manager,5 years,74e3,Jan-2019,Current,debt_consolidation,3545.78,Jun-2019,722.76,Jul-2019,Jun-2019,1
6500,36 months,7.56%,A,NA,n/a,5e4,Feb-2019,Current,debt_consolidation,812.21,Jun-2019,202.37,Jul-2019,Jun-2019,1
25000,60 months,13.08%,B,Clinic Manager,10+ years,13e4,Feb-2019,Current,debt_consolidation,2243.11,Jun-2019,569.86,Jul-2019,Jun-2019,1
10000,36 months,8.81%,A,Supervisor,< 1 year,1e5,Mar-2019,Current,debt_consolidation,941.57,Jun-2019,317.12,Jul-2019,Jun-2019,1
17000,60 months,10.72%,B,Payroll Coordinator,10+ years,81e3,Jan-2019,Current,credit_card,1816.05,Jun-2019,367.26,Jul-2019,Jun-2019,1
11000,36 months,11.02%,B,Sewer System  Manager,10+ years,91e3,Mar-2019,Current,debt_consolidation,1073.99,Jun-2019,360.24,Jul-2019,Jun-2019,1
1500,36 months,16.40%,C,Administrative Assistant,10+ years,5e4,Mar-2019,Current,other,157.75,Jun-2019,53.04,Jul-2019,Jun-2019,1
8000,36 months,8.19%,A,Loader operator,4 years,6e4,Jan-2019,Current,debt_consolidation,1253.36,Jun-2019,251.4,Jul-2019,Jun-2019,1
9600,36 months,8.81%,A,Purchasing / Warehousing,10+ years,5e4,Mar-2019,Current,debt_consolidation,908.59,Jun-2019,304.43,Jul-2019,Jun-2019,1
8000,36 months,7.02%,A,"Program Manager, Public Health",10+ years,79591,Jan-2019,Current,debt_consolidation,1249.49,Jun-2019,247.09,Jul-2019,Jun-2019,1
40000,36 months,7.56%,A,"Director, Busn Intelligence & Perf Mgmt",10+ years,237e3,Mar-2019,Current,debt_consolidation,3761.28,Jun-2019,1245.36,Jul-2019,Jun-2019,1
15000,60 months,8.19%,A,Accounting Supervisor,8 years,65e3,Mar-2019,Current,credit_card,937.04,Jun-2019,305.52,Jul-2019,Jun-2019,1
30000,36 months,18.94%,D,Registered Nurse,7 years,12e4,Feb-2019,Current,debt_consolidation,4331.99,Jun-2019,1098.78,Jul-2019,Jun-2019,1
20000,60 months,19.92%,D,Maintenance,3 years,52e3,Feb-2019,Current,debt_consolidation,2093.83,Jun-2019,528.99,Jul-2019,Jun-2019,1
5000,36 months,13.56%,C,Store manager,7 years,57e3,Feb-2019,Current,home_improvement,675.55,Jun-2019,169.83,Jul-2019,Jun-2019,1
35000,60 months,13.08%,B,PSD Team,< 1 year,125890,Mar-2019,Fully Paid,debt_consolidation,35016.5283333335,Apr-2019,35067.4,NA,Jun-2019,1
16000,60 months,19.92%,D,NA,< 1 year,148e3,Feb-2019,Current,other,1657.39,Jun-2019,423.2,Jul-2019,Jun-2019,1
15000,60 months,11.80%,B,Registered behavior technician,3 years,56e3,Jan-2019,Current,debt_consolidation,1318.81,May-2019,332.16,Jul-2019,Jun-2019,1
8000,36 months,17.97%,D,Manager,< 1 year,53e3,Mar-2019,Current,debt_consolidation,851.33,Jun-2019,289.1,Jul-2019,Jun-2019,1
8800,36 months,10.33%,B,Medical Laboratory Scientist,< 1 year,77e3,Mar-2019,Current,debt_consolidation,850.91,Jun-2019,285.32,Jul-2019,Jun-2019,1
11000,36 months,11.31%,B,NA,n/a,36500,Jan-2019,Current,credit_card,1791.47,Jun-2019,361.75,Jul-2019,Jun-2019,1
3000,36 months,12.40%,B,NA,n/a,3e4,Mar-2019,Current,medical,296.53,Jun-2019,100.22,Jul-2019,Jun-2019,1
8000,36 months,8.81%,A,NA,n/a,25e3,Feb-2019,Current,credit_card,1005.01,Jun-2019,253.7,Jul-2019,Jun-2019,1
30000,36 months,8.81%,A,NA,< 1 year,35e4,Jan-2019,Current,small_business,4742.07,Jun-2019,951.35,Jul-2019,Jun-2019,1
10000,36 months,10.33%,B,Staff Mammographer,10+ years,72e3,Jan-2019,Current,debt_consolidation,1609.67,Jun-2019,324.23,Jul-2019,Jun-2019,1
7000,36 months,7.02%,A,Youth Counselor,3 years,36e3,Jan-2019,Current,debt_consolidation,1087.88,Jun-2019,216.21,Jul-2019,Jun-2019,1
10500,60 months,17.19%,C,Adult Foster Caretaker,5 years,33e3,Mar-2019,Current,debt_consolidation,766.03,Jun-2019,262.03,Jul-2019,Jun-2019,1
23000,60 months,20.89%,D,Global Support Specialist,7 years,83e3,Jan-2019,Current,debt_consolidation,3183.11,Jun-2019,620.81,Jul-2019,Jun-2019,1
8000,36 months,11.80%,B,Wind tech,< 1 year,5e4,Jan-2019,Current,debt_consolidation,1049.35,May-2019,264.96,Jul-2019,Jun-2019,1
35000,36 months,8.19%,A,NA,10+ years,3e5,Feb-2019,Current,debt_consolidation,4383.48,Jun-2019,1099.85,Jul-2019,Jun-2019,1
19200,60 months,15.57%,C,Financial service representative,3 years,3e4,Mar-2019,Current,debt_consolidation,1371.01,Jun-2019,462.54,Jul-2019,Jun-2019,1
16000,36 months,8.19%,A,NA,n/a,20874,Jan-2019,Current,credit_card,2506.67,Jun-2019,502.79,Jul-2019,Jun-2019,1
10575,36 months,17.19%,C,NA,n/a,12e3,Mar-2019,Current,debt_consolidation,1123.99,Jun-2019,378.03,Jul-2019,Jun-2019,1
29875,60 months,15.57%,C,Supervisory Patent Examiner,10+ years,163400,Mar-2019,Current,debt_consolidation,2133.26,Jun-2019,719.7,Jul-2019,Jun-2019,1
16000,36 months,20.00%,D,HOA MANAGER,< 1 year,86e3,Mar-2019,Current,debt_consolidation,1766.08,Jun-2019,594.62,Jul-2019,Jun-2019,1
20000,60 months,28.97%,E,Driver,10+ years,5e4,Mar-2019,Fully Paid,house,20020.9216666667,Mar-2019,20053.11,NA,Mar-2019,1
6500,36 months,8.19%,A,NA,< 1 year,75e3,Jan-2019,Current,credit_card,1018.34,Jun-2019,204.26,Jul-2019,Jun-2019,1
18000,36 months,14.74%,C,Retail Planner,2 years,57200,Mar-2019,Current,moving,1835.59,Jun-2019,621.69,Jul-2019,Jun-2019,1
26000,36 months,10.72%,B,Teacher,10+ years,83e3,Jan-2019,Late (31-120 days),debt_consolidation,1843.61,May-2019,10,Jul-2019,Jun-2019,0
25600,60 months,16.14%,C,Staff Clerk,10+ years,32e3,Feb-2019,Current,debt_consolidation,2451.89,Jun-2019,624.45,Jul-2019,Jun-2019,1
8000,36 months,7.02%,A,Project Coordinator,9 years,65e3,Feb-2019,Current,other,1085.12,Jun-2019,247.09,Jul-2019,Jun-2019,1
22000,36 months,8.19%,A,System Administrator,10+ years,12e4,Feb-2019,Current,debt_consolidation,2755.31,Jun-2019,691.33,Jul-2019,Jun-2019,1
8000,36 months,13.08%,B,VP-Strategic Accounts,8 years,23e4,Mar-2019,Current,debt_consolidation,797.95,Jun-2019,269.86,Jul-2019,Jun-2019,1
34000,36 months,7.02%,A,Surgical Technician,2 years,36e3,Jan-2019,Current,debt_consolidation,6227.91,Jun-2019,1050.14,Jul-2019,Jun-2019,1
10000,36 months,7.56%,A,Accountant,5 years,96970,Feb-2019,Current,credit_card,2585.25,Jun-2019,311.34,Jul-2019,Jun-2019,1
7000,36 months,7.56%,A,NA,< 1 year,2e4,Jan-2019,Current,debt_consolidation,1082.35,Jun-2019,217.94,Jul-2019,Jun-2019,1
10000,36 months,8.81%,A,Practice Assistant,10+ years,46e3,Feb-2019,Current,debt_consolidation,2658.69,Jun-2019,317.12,Jul-2019,Jun-2019,1
5000,36 months,18.94%,D,Equipment operator,10+ years,35e3,Jan-2019,Current,debt_consolidation,910.39,Jun-2019,183.13,Jul-2019,Jun-2019,1
15000,36 months,12.98%,B,Administrator,10+ years,112900,Jan-2019,Fully Paid,credit_card,15319.547867094,Mar-2019,14841.32,NA,May-2019,1
17000,60 months,17.97%,D,National Sales Manager,10+ years,165e3,Mar-2019,Current,debt_consolidation,1277.29,Jun-2019,431.42,Jul-2019,Jun-2019,1
21000,36 months,11.80%,B,Driver,2 years,33e3,Jan-2019,Current,debt_consolidation,3463.73,Jun-2019,695.5,Jul-2019,Jun-2019,1
15000,60 months,11.80%,B,house keeper,5 years,25e3,Jan-2019,Current,credit_card,1308.97,May-2019,332.16,Jul-2019,Jun-2019,1
20000,60 months,12.98%,B,Senior accountant,10+ years,7e4,Jan-2019,Current,debt_consolidation,2267.1,Jun-2019,454.86,Jul-2019,Jun-2019,1
15000,60 months,8.81%,A,NA,10+ years,0,Feb-2019,Current,debt_consolidation,1232.66,Jun-2019,310,Jul-2019,Jun-2019,1
16750,36 months,20.89%,D,Supervisor/Investigator,10+ years,147765,Jan-2019,Current,debt_consolidation,3131.16,Jun-2019,630.12,Jul-2019,Jun-2019,1
25000,36 months,23.40%,E,Lobby fire safety/watchmen,7 years,1e5,Jan-2019,Current,debt_consolidation,4897.35,Jun-2019,972.97,Jul-2019,Jun-2019,1
11400,36 months,13.56%,C,NA,2 years,15e3,Feb-2019,Current,credit_card,1540.21,Jun-2019,387.2,Jul-2019,Jun-2019,1
3200,36 months,8.81%,A,Receptionist,< 1 year,25700,Jan-2019,Current,debt_consolidation,904.27,Jun-2019,101.48,Jul-2019,Jun-2019,1
22000,36 months,7.02%,A,Lawyer,10+ years,294500,Feb-2019,Current,debt_consolidation,2756.61,Jun-2019,679.5,Jul-2019,Jun-2019,1
16000,36 months,11.31%,B,assembler,2 years,25e3,Jan-2019,Current,credit_card,2710.79,Jun-2019,526.18,Jul-2019,Jun-2019,1
10000,36 months,7.02%,A,Maintenance Manager,5 years,6e4,Feb-2019,Current,home_improvement,1231.58,Jun-2019,308.87,Jul-2019,Mar-2019,1
3000,36 months,20.89%,D,waitress/shift lead,1 year,2e4,Jan-2019,Fully Paid,major_purchase,3002.3708666672,Feb-2019,3009.33,NA,Jan-2019,1
5000,36 months,8.81%,A,dispatcher,10+ years,63e3,Mar-2019,Fully Paid,home_improvement,5026.9166666664,Mar-2019,5029.37,NA,Mar-2019,1
20000,36 months,8.19%,A,Driller,9 years,105e3,Mar-2019,Current,credit_card,1876.37,Jun-2019,628.49,Jul-2019,Jun-2019,1
24000,36 months,16.14%,C,NA,n/a,112e3,Jan-2019,Current,debt_consolidation,4173.35,Jun-2019,845.43,Jul-2019,Jun-2019,1
22000,60 months,8.19%,A,Truck Driver,5 years,88e3,Mar-2019,Current,debt_consolidation,1334.26,Jun-2019,448.09,Jul-2019,Jun-2019,1
32000,36 months,8.19%,A,"Director, Data Product Management",7 years,125e3,Jan-2019,Current,credit_card,5013.34,Jun-2019,1005.58,Jul-2019,Jun-2019,1
2000,36 months,16.40%,C,NA,n/a,13500,Feb-2019,Current,other,281.02,Jun-2019,70.71,Jul-2019,Jun-2019,1
32000,36 months,7.02%,A,Teacher,8 years,75e3,Jan-2019,Current,home_improvement,4916.84,Jun-2019,988.36,Jul-2019,Jun-2019,1
1500,36 months,14.74%,C,Reunion reosrt housekepper manager,3 years,28e3,Mar-2019,Current,vacation,252.97,Jun-2019,51.81,Jul-2019,Jun-2019,1
35000,60 months,16.91%,C,Lead Operator,8 years,78e3,Jan-2019,Current,debt_consolidation,4307.87,Jun-2019,868.15,Jul-2019,Jun-2019,1
10000,36 months,13.56%,C,Mortgage Servicing Specialist,4 years,39500,Feb-2019,Current,debt_consolidation,1377.44,Jun-2019,339.65,Jul-2019,Jun-2019,1
28000,60 months,11.02%,B,Dept. Manager,5 years,78e3,Mar-2019,In Grace Period,debt_consolidation,2404.36,May-2019,1468.14,Jul-2019,Jun-2019,1
27900,60 months,11.80%,B,Wholese Manager,3 years,5e4,Jan-2019,Current,debt_consolidation,3070.76,Jun-2019,617.81,Jul-2019,Jun-2019,1
14000,60 months,13.08%,B,Warehouse associate,3 years,33e3,Mar-2019,Current,debt_consolidation,947.19,Jun-2019,319.12,Jul-2019,Jun-2019,1
8000,36 months,11.31%,B,NA,n/a,22e3,Jan-2019,Current,debt_consolidation,1064.93,May-2019,263.09,Jul-2019,Jun-2019,1
40000,60 months,8.19%,A,Sr Software Developer,10+ years,1e5,Mar-2019,Current,debt_consolidation,2471.4,Jun-2019,814.7,Jul-2019,Jun-2019,1
4500,36 months,12.40%,B,Bank Supervisor,4 years,88300,Mar-2019,Current,major_purchase,444.79,Jun-2019,150.33,Jul-2019,Jun-2019,1
12000,60 months,11.80%,B,Driver,< 1 year,115e3,Jan-2019,Current,credit_card,1055.05,May-2019,265.73,Jul-2019,Jun-2019,1
15000,36 months,10.33%,B,Paralegal,1 year,87e3,Mar-2019,Current,debt_consolidation,1450.41,Jun-2019,486.34,Jul-2019,Jun-2019,1
10000,36 months,20.00%,D,NA,< 1 year,38e3,Mar-2019,Current,other,1103.81,Jun-2019,371.64,Jul-2019,Jun-2019,1
5000,36 months,20.00%,D,director of security,10+ years,112e3,Mar-2019,Current,credit_card,551.9,Jun-2019,185.82,Jul-2019,Jun-2019,1
40000,36 months,11.31%,B,Project Planner,4 years,124532,Feb-2019,Current,credit_card,5236.59,Jun-2019,1315.43,Jul-2019,Jun-2019,1
14400,60 months,15.02%,C,Case Manager,6 years,35e3,Jan-2019,Current,debt_consolidation,1701.63,Jun-2019,342.73,Jul-2019,Jun-2019,1
20000,36 months,7.02%,A,Meter Reader,< 1 year,5e4,Mar-2019,Current,debt_consolidation,1845.39,Jun-2019,617.73,Jul-2019,Jun-2019,1
20000,36 months,10.33%,B,Assoc head of Middle School,10+ years,52e3,Feb-2019,Current,debt_consolidation,3260.12,Jun-2019,648.45,Jul-2019,Jun-2019,1
5000,36 months,10.72%,B,site manager,10+ years,6e4,Feb-2019,Current,debt_consolidation,649.18,Jun-2019,163.04,Jul-2019,Jun-2019,1
2500,36 months,16.40%,C,Bus driver,10+ years,47e3,Mar-2019,Current,home_improvement,260.61,Jun-2019,88.39,Jul-2019,Jun-2019,1
14400,60 months,14.47%,C,Financial Advisor,8 years,101e3,Jan-2019,Current,debt_consolidation,1681.37,Jun-2019,338.59,Jul-2019,Jun-2019,1
35500,60 months,10.33%,B,Asst Director Operations,10+ years,11e4,Jan-2019,Current,debt_consolidation,3820.62,Jun-2019,760.05,Jul-2019,Jun-2019,1
9000,36 months,6.46%,A,Sales Rep,4 years,1e5,Mar-2019,Current,debt_consolidation,823.81,Jun-2019,275.68,Jul-2019,Jun-2019,1
40000,36 months,6.46%,A,Clinical Social Worker,10+ years,92e3,Feb-2019,Current,debt_consolidation,4872.25,Jun-2019,1225.24,Jul-2019,Jun-2019,1
20000,36 months,6.46%,A,Courtesy Vehical Coordinator,1 year,48e3,Jan-2019,Current,credit_card,5048.74,Jun-2019,1112.62,Jul-2019,Jun-2019,1
8000,36 months,11.80%,B,CNA,< 1 year,44e3,Feb-2019,Current,home_improvement,1054.6,Jun-2019,264.96,Jul-2019,Jun-2019,1
13000,36 months,12.40%,B,Administrative,6 years,38e3,Feb-2019,Current,credit_card,1728.16,Jun-2019,434.28,Jul-2019,Jun-2019,1
30000,60 months,16.40%,C,Assistant Truck branch manager,3 years,58656,Mar-2019,Current,debt_consolidation,2180.49,Jun-2019,735.94,Jul-2019,Jun-2019,1
22000,36 months,8.81%,A,Architect,10+ years,56900,Mar-2019,Current,debt_consolidation,2071.44,Jun-2019,697.66,Jul-2019,Jun-2019,1
11000,36 months,8.19%,A,Office Manager,9 years,41e3,Jan-2019,Current,debt_consolidation,1715.84,Jun-2019,345.67,Jul-2019,Jun-2019,1
40000,36 months,6.46%,A,Sr. Systems Engineer - Team Lead,7 years,117e3,Mar-2019,Current,debt_consolidation,2421.77,Jun-2019,1225.24,Jul-2019,Jun-2019,1
10000,36 months,14.47%,C,Administration Assistant,6 years,37e3,Feb-2019,Current,debt_consolidation,1368.24,Jun-2019,344.07,Jul-2019,Jun-2019,1
30000,60 months,13.08%,B,NA,n/a,39040.68,Mar-2019,Current,other,2029.69,Jun-2019,683.83,Jul-2019,Jun-2019,1
10000,36 months,11.80%,B,Police Detective,10+ years,12e4,Feb-2019,Current,debt_consolidation,1308.37,Jun-2019,331.19,Jul-2019,Jun-2019,1
12000,36 months,7.02%,A,System and Procedure Analyst,10+ years,94e3,Jan-2019,Current,debt_consolidation,1848.52,Jun-2019,370.64,Jul-2019,Jun-2019,1
40000,60 months,15.02%,C,Clinical dietitian,1 year,64500,Feb-2019,Current,debt_consolidation,3774.7,Jun-2019,952.02,Jul-2019,Jun-2019,1
12000,36 months,8.81%,A,Service Manager,10+ years,92e3,Jan-2019,Current,credit_card,2116.83,Jun-2019,600.54,Jul-2019,Jun-2019,1
35000,60 months,20.00%,D,Sr. Network Engineer,< 1 year,94e3,Mar-2019,Current,debt_consolidation,2704.09,Jun-2019,927.29,Jul-2019,Jun-2019,1
36000,36 months,11.80%,B,Lead Case Manager,10+ years,75e3,Feb-2019,Current,credit_card,4721.92,Jun-2019,1192.28,Jul-2019,Jun-2019,1
7000,36 months,17.19%,C,Network Engineer,3 years,75e3,Mar-2019,Current,other,1744.04,Jun-2019,1250.24,Jul-2019,May-2019,1
25000,60 months,20.89%,D,Registered Nurse,6 years,118e3,Feb-2019,Current,debt_consolidation,2670.15,Jun-2019,674.79,Jul-2019,Jun-2019,1
24000,36 months,17.97%,D,Sales,3 years,4e4,Mar-2019,Current,debt_consolidation,2553.98,Jun-2019,867.3,Jul-2019,Jun-2019,1
8000,36 months,17.97%,D,Digital Preservation Coordinator,10+ years,63e3,Mar-2019,Current,credit_card,867.31,Jun-2019,289.1,Jul-2019,Jun-2019,1
15000,36 months,17.19%,C,Technician supervisor,10+ years,92106,Feb-2019,Fully Paid,debt_consolidation,15684.963431471,Jun-2019,14626.84,NA,Jun-2019,1
20000,60 months,14.47%,C,Technician,3 years,5e4,Feb-2019,Current,credit_card,1864.96,Jun-2019,470.26,Jul-2019,Jun-2019,1
11000,60 months,12.98%,B,Designer,6 years,136e3,Feb-2019,Current,debt_consolidation,992.79,Jun-2019,250.18,Jul-2019,Jun-2019,1
20000,36 months,11.80%,B,SAP Quality Analyst,8 years,83e3,Jan-2019,Current,debt_consolidation,3285.68,Jun-2019,662.38,Jul-2019,Jun-2019,1
40000,60 months,8.19%,A,Secretary,3 years,6e4,Mar-2019,Current,credit_card,2407.7,Jun-2019,814.7,Jul-2019,Jun-2019,1
26000,60 months,19.92%,D,Project Coordinator,1 year,5e4,Jan-2019,Current,debt_consolidation,6209.68,Jun-2019,687.69,Jul-2019,Jun-2019,1
8900,36 months,8.19%,A,Computer Systems Analyst,< 1 year,108920,Mar-2019,Current,credit_card,834.99,Jun-2019,279.68,Jul-2019,Jun-2019,1
8000,36 months,15.02%,C,Sales,9 years,51157,Feb-2019,Current,debt_consolidation,1102.96,Jun-2019,277.41,Jul-2019,Jun-2019,1
20000,60 months,20.00%,D,Lounge server,10+ years,68e3,Mar-2019,Current,debt_consolidation,1545.2,Jun-2019,529.88,Jul-2019,Jun-2019,1
10000,60 months,8.19%,A,HR Administrator,1 year,38480,Jan-2019,Current,debt_consolidation,1007.02,Jun-2019,203.68,Jul-2019,Jun-2019,1
40000,36 months,10.33%,B,NA,< 1 year,24e3,Jan-2019,Current,major_purchase,6438.59,Jun-2019,1296.9,Jul-2019,Jun-2019,1
4500,36 months,6.46%,A,NA,n/a,57500,Jan-2019,Current,credit_card,677.09,Jun-2019,137.84,Jul-2019,Jun-2019,1
10000,36 months,8.81%,A,Rehabilitation Counselor,10+ years,42e3,Jan-2019,Current,credit_card,1575.81,Jun-2019,317.12,Jul-2019,Jun-2019,1
12000,36 months,12.98%,B,Operation Specialist,3 years,43e3,Jan-2019,Current,debt_consolidation,2012.45,Jun-2019,404.22,Jul-2019,Jun-2019,1
30000,36 months,13.56%,C,NA,n/a,54e3,Feb-2019,Current,debt_consolidation,4053.12,Jun-2019,1018.93,Jul-2019,Jun-2019,1
1400,36 months,10.33%,B,NA,n/a,15e3,Mar-2019,Current,other,135.4,Jun-2019,45.4,Jul-2019,Jun-2019,1
13125,60 months,20.89%,D,Member Service Rep,6 years,75e3,Jan-2019,Current,credit_card,2299.48,Jun-2019,354.27,Jul-2019,Jun-2019,1
10000,60 months,12.98%,B,Executive Director,10+ years,78e3,Feb-2019,Current,credit_card,902.51,Jun-2019,227.43,Jul-2019,Jun-2019,1
4000,36 months,8.19%,A,faciliater,10+ years,76544,Feb-2019,Current,debt_consolidation,499.16,Jun-2019,125.7,Jul-2019,Jun-2019,1
4800,36 months,6.46%,A,Assitant Manager,1 year,19992,Mar-2019,Current,credit_card,745.31,Jun-2019,147.03,Jul-2019,Jun-2019,1
